Family,Genus,Species,Latin_Name,Common_Name,Fig_stat,Status,Details,Sources
Molossidae,Molossus,fluminensis,Molossus fluminensis,River Mastiff Bat,,Nonmigratory,NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores,Louriero et al 2020 (check citations 26-29)
Molossidae,Molossus,melini,Molossus melini,Melin's Mastiff Bat,,Nonmigratory,NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores,Louriero et al 2020 (check citations 26-29)
Molossidae,Molossus,milleri,Molossus milleri,Miller's Mastiff Bat,,Nonmigratory,NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores,Louriero et al 2020 (check citations 26-29)
Molossidae,Molossus,nigricans,Molossus nigricans,Ebon Mastiff Bat,,Nonmigratory,NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores,Louriero et al 2020 (check citations 26-29)
Molossidae,Molossus,verrilli,Molossus verrilli,Verrill's Mastiff Bat,,Nonmigratory,NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores,Louriero et al 2020 (check citations 26-29)
Molossidae,Mops,aloysiisabaudiae,Mops aloysiisabaudiae,Duke of Abruzzi's Free-tailed Bat,,Unknown,,
Molossidae,Mops,atsinanana,Mops atsinanana,Eastern Free-tailed Bat,,Unknown,,
Molossidae,Mops,bakarii,Mops bakarii,Bakari&apos;s Free-tailed Bat,,Unknown,,
Molossidae,Mops,bemmeleni,Mops bemmeleni,Gland-tailed Free-tailed Bat,,Potential Migrant,potential mig-O'Shea & Vaughan,O'Shea & Vaughan 1980
Molossidae,Mops,brachypterus,Mops brachypterus,Short-winged Free-tailed Bat,,Unknown,,
Molossidae,Mops,bregullae,Mops bregullae,Fijian Free-tailed Bat,,Unknown,,
Molossidae,Mops,chapini,Mops chapini,Pale Free-tailed Bat,,Unknown,,
Molossidae,Mops,congicus,Mops congicus,Congo Free-tailed Bat,,Unknown,,
Molossidae,Mops,demonstrator,Mops demonstrator,Mongallan Free-tailed Bat,,Unknown,,
Molossidae,Mops,gallagheri,Mops gallagheri,Gallagher's Free-tailed Bat,,Unknown,,
Molossidae,Mops,jobimena,Mops jobimena,Bicolored Free-tailed Bat,,Unknown,,
Molossidae,Mops,johorensis,Mops johorensis,Johor Free-tailed Bat,,Unknown,,
Molossidae,Mops,leucogaster,Mops leucogaster,Grandidier's Free-tailed Bat,,Unknown,,
Molossidae,Mops,leucostigma,Mops leucostigma,Malagasy White-bellied Free-tailed Bat,,Unknown,,
Molossidae,Mops,major,Mops major,Lappet-eared Free-tailed Bat,,Unknown,,
Molossidae,Mops,mops,Mops mops,Malayan Free-tailed Bat,,Unknown,,
Molossidae,Mops,niangarae,Mops niangarae,Niangaran Free-tailed Bat,,Unknown,,
Molossidae,Mops,nigeriae,Mops nigeriae,Nigerian Free-tailed Bat,,Unknown,,
Molossidae,Mops,niveiventer,Mops niveiventer,White-bellied Free-tailed Bat,,Unknown,,
Molossidae,Mops,petersoni,Mops petersoni,Peterson's Free-tailed Bat,,Unknown,,
Molossidae,Mops,pusillus,Mops pusillus,Least Free-tailed Bat,,Unknown,,
Molossidae,Mops,russatus,Mops russatus,Russet Free-tailed Bat,,Unknown,,
Molossidae,Mops,sarasinorum,Mops sarasinorum,Sulawesian Free-tailed Bat,,Unknown,,
Molossidae,Mops,shortridgei,Mops shortridgei,Shortridge's Free-tailed Bat,,Unknown,,
Molossidae,Mops,solomonis,Mops solomonis,Solomons Mastiff Bat,,Unknown,,
Molossidae,Mops,tomensis,Mops tomensis,S&atilde;o Tom&eacute; Free-tailed Bat,,Unknown,,
Molossidae,Mops,trevori,Mops trevori,Trevor's Free-tailed Bat,,Unknown,,
Molossidae,Mormopterus,acetabulosus,Mormopterus acetabulosus,Mauritian Little Mastiff Bat,,Unknown,,
Molossidae,Mormopterus,doriae,Mormopterus doriae,Sumatran Mastiff Bat,,Unknown,,
Molossidae,Mormopterus,francoismoutoui ,Mormopterus francoismoutoui ,Moutou&apos;s Mastiff Bat,,Unknown,,
Molossidae,Mormopterus,jugularis,Mormopterus jugularis,Peters' Wrinkle-lipped Bat,,Nonmigratory,NM - B&B2014,Burns & Broders 2014
Molossidae,Mormopterus,kalinowskii,Mormopterus kalinowskii,Kalinowski's Mastiff Bat,,Unknown,,
Molossidae,Mormopterus,minutus,Mormopterus minutus,Little Goblin Bat,,Unknown,,
Molossidae,Mormopterus,phrudus,Mormopterus phrudus,Incan Little Mastiff Bat,,Unknown,,
Molossidae,Myopterus,daubentonii,Myopterus daubentonii,Daubenton's Winged-mouse Bat,,Unknown,,
Molossidae,Myopterus,whitleyi,Myopterus whitleyi,Bini Winged-mouse Bat,,Unknown,,
Molossidae,Neoplatymops,mattogrossensis,Neoplatymops mattogrossensis,Mato Grosso Dog-faced Bat,,Unknown,,
Molossidae,Nyctinomops,aurispinosus,Nyctinomops aurispinosus,Peale's Free-tailed Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Molossidae,Nyctinomops,mbopicuare,Nyctinomops mbopicuare,GuaranÃ­  Free-tailed Bat,,Unknown,,
Molossidae,Otomops,formosus,Otomops formosus,Java Giant Mastiff Bat,,Unknown,,
Molossidae,Otomops,harrisoni,Otomops harrisoni,Harrison's Large-eared Giant Mastiff Bat,,Unknown,,
Molossidae,Otomops,johnstonei,Otomops johnstonei,Johnstone's Giant Mastiff Bat,,Unknown,,
Molossidae,Otomops,madagascariensis,Otomops madagascariensis,Malagasy Giant Mastiff Bat,,Migratory,mig-CMS 2020,CMS 2020
Molossidae,Otomops,papuensis,Otomops papuensis,Papuan Giant Mastiff Bat,,Unknown,,
Molossidae,Otomops,secundus,Otomops secundus,Mantled Giant Mastiff Bat,,Unknown,,
Molossidae,Otomops,wroughtoni,Otomops wroughtoni,Wroughton's Giant Mastiff Bat,,Unknown,,
Molossidae,Ozimops,beccarii,Ozimops beccarii,Beccari&apos;s Mastiff Bat,,Unknown,,
Molossidae,Ozimops,cobourgianus,Ozimops cobourgianus,Northwestern Free-tailed Bat,,Unknown,,
Molossidae,Ozimops,halli,Ozimops halli,Cape York Free-tailed Bat,,Unknown,,
Molossidae,Ozimops,kitcheneri,Ozimops kitcheneri,Southwestern Free-tailed Bat,,Unknown,,
Molossidae,Ozimops,loriae,Ozimops loriae,Loria's Mastiff Bat,,Unknown,,
Molossidae,Ozimops,lumsdenae,Ozimops lumsdenae,Northern Free-tailed Bat,,Unknown,,
Molossidae,Ozimops,planiceps,Ozimops planiceps,Southern Free-tailed Bat,,Unknown,,
Molossidae,Platymops,setiger,Platymops setiger,Peters' Flat-headed Bat,,Potential Migrant,potential migrant-O&V1980,O'Shea & Vaughan 1980
Molossidae,Promops,centralis,Promops centralis,Big Crested Mastiff Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Molossidae,Promops,davisoni,Promops davisoni,Davison's Crested Mastiff Bat,,Unknown,,
Molossidae,Promops,nasutus,Promops nasutus,Brown Mastiff Bat,,Unknown,,
Molossidae,Sauromys,petrophilus,Sauromys petrophilus,Roberts's Flat-headed Bat,,Unknown,,
Molossidae,Setirostris,eleryi,Setirostris eleryi,Bristle-faced Free-tailed Bat,,Unknown,,
Molossidae,Tadarida,fulminans,Tadarida fulminans,Malagasy Free-tailed Bat,,Unknown,,
Molossidae,Tadarida,insignis,Tadarida insignis,East Asian Free-tailed Bat,,Migratory,"mig-CMS 2020, mig-Funakoshi & Yamamoto 2001",CMS 2020; Funakoshi & Yamamoto 2001
Molossidae,Tadarida,latouchei,Tadarida latouchei,La Touche's Free-tailed Bat,,Migratory,mig-CMS 2020,CMS 2020
Molossidae,Tadarida,lobata,Tadarida lobata,Big-eared Free-tailed Bat,,Unknown,,
Molossidae,Tadarida,ventralis,Tadarida ventralis,Giant Free-tailed Bat,,Unknown,,
Molossidae,Tomopeas,ravum,Tomopeas ravum,Blunt-eared Bat,,Unknown,,
Mormoopidae,Pteronotus,alitonus,Pteronotus alitonus,Clarion mustached bat,,Unknown,,
Mormoopidae,Pteronotus,fulvus,Pteronotus fulvus,Tawny Naked-backed Bat,,Unknown,,
Mormoopidae,Pteronotus,fuscus,Pteronotus fuscus,Dusky Mustached Bat,,Unknown,,
Mormoopidae,Pteronotus,macleayii,Pteronotus macleayii,MacLeay's Mustached Bat,,Unknown,,
Mormoopidae,Pteronotus,mexicanus,Pteronotus mexicanus,Mexican Mustached Bat,,Unknown,,
Mormoopidae,Pteronotus,paraguanensis,Pteronotus paraguanensis,Paraguanan Mustached Bat,,Unknown,,
Mormoopidae,Pteronotus,portoricensis,Pteronotus portoricensis,Puerto Rican Mustached Bat,,Unknown,,
Mormoopidae,Pteronotus,psilotis,Pteronotus psilotis,Tehuantepec Mustached Bat,,Unknown,,
Mormoopidae,Pteronotus,pusillus,Pteronotus pusillus,Tiny Mustached Bat,,Unknown,,
Mormoopidae,Pteronotus,rubiginosus,Pteronotus rubiginosus,Rusty Mustached Bat,,Unknown,,
Mystacinidae,Mystacina,robusta,Mystacina robusta,New Zealand Greater Short-tailed Bat,,Unknown,,
Mystacinidae,Mystacina,tuberculata,Mystacina tuberculata,New Zealand Lesser Short-tailed Bat,,Potential Nonmigrant,putative NM - Moussy 2013,
Myzopodidae,Myzopoda,aurita,Myzopoda aurita,Sucker-footed Bat,,Unknown,,
Myzopodidae,Myzopoda,schliemanni,Myzopoda schliemanni,Schliemann's Sucker-footed Bat,,Unknown,,
Natalidae,Chilonatalus,macer,Chilonatalus macer,Slender Lesser Funnel-eared Bat,,Unknown,,
Natalidae,Chilonatalus,micropus,Chilonatalus micropus,Cuban Lesser Funnel-eared Bat,,Unknown,,
Natalidae,Chilonatalus,tumidifrons,Chilonatalus tumidifrons,Bahamian Lesser Funnel-eared Bat,,Unknown,,
Natalidae,Natalus,jamaicensis,Natalus jamaicensis,Jamaican Greater Funnel-eared Bat,,Unknown,,
Natalidae,Natalus,macrourus,Natalus macrourus,Long-tailed Greater Funnel-eared Bat,,Unknown,,
Natalidae,Natalus,major,Natalus major,Hispaniolan Greater Funnel-eared Bat,,Unknown,,
Natalidae,Natalus,primus,Natalus primus,Cuban Greater Funnel-eared Bat,,Unknown,,
Natalidae,Nyctiellus,lepidus,Nyctiellus lepidus,Gervais' Funnel-eared Bat,,Unknown,,
Nycteridae,Nycteris,aurita,Nycteris aurita,Andersen's Slit-faced Bat,,Unknown,,
Nycteridae,Nycteris,gambiensis,Nycteris gambiensis,Gambian Slit-faced Bat,,Unknown,,
Nycteridae,Nycteris,intermedia,Nycteris intermedia,Intermediate Slit-faced Bat,,Unknown,,
Nycteridae,Nycteris,javanica,Nycteris javanica,Javan Slit-faced Bat,,Unknown,,
Nycteridae,Nycteris,major,Nycteris major,Dja Slit-faced Bat,,Unknown,,
Nycteridae,Nycteris,nana,Nycteris nana,Dwarf Slit-faced Bat,,Unknown,,
Nycteridae,Nycteris,parisii,Nycteris parisii,Parisi's Slit-faced Bat,,Unknown,,
Nycteridae,Nycteris,tragata,Nycteris tragata,Malayan Slit-faced Bat,,Unknown,,
Nycteridae,Nycteris,woodi,Nycteris woodi,Wood's Slit-faced Bat,,Unknown,,
Phyllostomidae,Anoura,aequatoris,Anoura aequatoris,Ecuadorian Tailless Bat,,Unknown,,
Phyllostomidae,Anoura,cadenai,Anoura cadenai,Cadena&apos;s Tailless Bat,,Unknown,,
Phyllostomidae,Anoura,fistulata,Anoura fistulata,Tube-lipped Tailless Bat,,Unknown,,
Phyllostomidae,Anoura,javieri,Anoura javieri,Javier's Tailless Bat,,Unknown,,
Phyllostomidae,Anoura,latidens,Anoura latidens,Broad-toothed Tailless Bat,,Unknown,,
Phyllostomidae,Anoura,luismanueli,Anoura luismanueli,Luis Manuel's Tailless Bat,,Unknown,,
Phyllostomidae,Ardops,nichollsi,Ardops nichollsi,Tree Bat,,Nonmigratory,NM - Moussy et al 2013,
Phyllostomidae,Ariteus,flavescens,Ariteus flavescens,Jamaican Fig-eating Bat,,Unknown,,
Phyllostomidae,Artibeus,aequatorialis,Artibeus aequatorialis,Equatorial Fruit-eating Bat,,Unknown,,
Phyllostomidae,Artibeus,inopinatus,Artibeus inopinatus,Honduran Fruit-eating Bat,,Unknown,,
Phyllostomidae,Artibeus,intermedius,Artibeus intermedius,Common Fruit-eating Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Phyllostomidae,Artibeus,schwartzi,Artibeus schwartzi,Schwartz&apos;s Fruit-eating Bat,,Unknown,,
Phyllostomidae,Brachyphylla,cavernarum,Brachyphylla cavernarum,Antillean Fruit-eating Bat,,Nonmigratory,NM - Moussy et al 2013,
Phyllostomidae,Brachyphylla,nana,Brachyphylla nana,Cuban Fruit-eating Bat,,Unknown,,
Phyllostomidae,Carollia,benkeithi,Carollia benkeithi,Ben Keith's Short-tailed Bat,,Unknown,,
Phyllostomidae,Carollia,manu,Carollia manu,Manu Short-tailed Bat,,Unknown,,
Phyllostomidae,Carollia,monohernandezi,Carollia monohernandezi,Hern&aacute;ndez-Camacho's Short-tailed Bat,,Unknown,,
Phyllostomidae,Chiroderma,doriae,Chiroderma doriae,Brazilian Big-eyed Bat,,Unknown,,
Phyllostomidae,Chiroderma,gorgasi,Chiroderma gorgasi,Fierce Big-eyed Bat,,Unknown,,
Phyllostomidae,Chiroderma,improvisum,Chiroderma improvisum,Guadeloupean Big-eyed Bat,,Unknown,,
Phyllostomidae,Chiroderma,scopaeum,Chiroderma scopaeum,Mexican Big-eyed Bat,,Unknown,,
Phyllostomidae,Choeroniscus,minor,Choeroniscus minor,Lesser Long-tongued Bat,,Unknown,,
Phyllostomidae,Choeroniscus,periosus,Choeroniscus periosus,Greater Long-tongued Bat,,Unknown,,
Phyllostomidae,Dermanura,rava,Dermanura rava,Amber Fruit-eating Bat,,Unknown,,
Phyllostomidae,Dermanura,rosenbergi,Dermanura rosenbergi,Rosenberg&apos;s Fruit-eating Bat,,Unknown,,
Phyllostomidae,Dryadonycteris,capixaba,Dryadonycteris capixaba,Espirito Santo Atlantic Forest Bat,,Unknown,,
Phyllostomidae,Erophylla,bombifrons,Erophylla bombifrons,Brown Flower Bat,,Unknown,,
Phyllostomidae,Gardnerycteris,keenani,Gardnerycteris keenani,Keenan&apos;s Hairy-nosed Bat,,Unknown,,
Phyllostomidae,Gardnerycteris,koepckeae,Gardnerycteris koepckeae,Koepcke's Hairy-nosed Bat,,Unknown,,
Phyllostomidae,Glossophaga,antillarum,Glossophaga antillarum,Jamaican Long-tongued Bat,,Unknown,,
Phyllostomidae,Glossophaga,bakeri,Glossophaga bakeri,Baker's Long-tongued Bat,,Unknown,,
Phyllostomidae,Glossophaga,mutica,Glossophaga mutica,Tres Marias Long-tongued Bat,,Unknown,,
Phyllostomidae,Glossophaga,valens,Glossophaga valens,Robust Long-tongued Bat,,Unknown,,
Phyllostomidae,Glyphonycteris,behnii,Glyphonycteris behnii,Behn's Bat,,Unknown,,
Phyllostomidae,Glyphonycteris,daviesi,Glyphonycteris daviesi,Graybeard Bat,,Unknown,,
Phyllostomidae,Glyphonycteris,sylvestris,Glyphonycteris sylvestris,Tricolored Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Phyllostomidae,Hsunycteris,cadenai,Hsunycteris cadenai,Cadena&apos;s Nectar Bat,,Unknown,,
Phyllostomidae,Hsunycteris,dashe,Hsunycteris dashe,Dashe&apos;s Nectar Bat,,Unknown,,
Phyllostomidae,Hsunycteris,pattoni,Hsunycteris pattoni,Patton&apos;s Nectar Bat,,Unknown,,
Phyllostomidae,Lampronycteris,brachyotis,Lampronycteris brachyotis,Orange-throated Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Phyllostomidae,Lichonycteris,degener,Lichonycteris degener,Common Long-tongued Bat,,Unknown,,
Phyllostomidae,Lichonycteris,obscura,Lichonycteris obscura,Dark Long-tongued Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Phyllostomidae,Lonchophylla,bokermanni,Lonchophylla bokermanni,Bokermann's Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,chocoana,Lonchophylla chocoana,Choc&oacute; Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,concava,Lonchophylla concava,Goldman's Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,dekeyseri,Lonchophylla dekeyseri,Dekeyser's Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,fornicata,Lonchophylla fornicata,Pacific Forest Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,handleyi,Lonchophylla handleyi,Handley's Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,hesperia,Lonchophylla hesperia,Western Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,inexpectata,Lonchophylla inexpectata,Caatinga Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,mordax,Lonchophylla mordax,Mordant Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,orcesi,Lonchophylla orcesi,Orces&apos; Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,orienticollina,Lonchophylla orienticollina,Eastern Cordilleran Nectar Bat,,Unknown,,
Phyllostomidae,Lonchophylla,peracchii,Lonchophylla peracchii,Peracchi&apos;s Nectar Bat,,Unknown,,
Phyllostomidae,Lonchorhina,fernandezi,Lonchorhina fernandezi,Fernandez's Sword-nosed Bat,,Unknown,,
Phyllostomidae,Lonchorhina,inusitata,Lonchorhina inusitata,Uncommon Sword-nosed Bat,,Unknown,,
Phyllostomidae,Lonchorhina,mankomara,Lonchorhina mankomara,Mother Mara's Sword-nosed Bat,,Unknown,,
Phyllostomidae,Lonchorhina,marinkellei,Lonchorhina marinkellei,Marinkelle's Sword-nosed Bat,,Unknown,,
Phyllostomidae,Lonchorhina,orinocensis,Lonchorhina orinocensis,Orinocoan Sword-nosed Bat,,Unknown,,
Phyllostomidae,Lophostoma,carrikeri,Lophostoma carrikeri,Carriker's Round-eared Bat,,Unknown,,
Phyllostomidae,Lophostoma,evotis,Lophostoma evotis,Davis' Round-eared Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Phyllostomidae,Lophostoma,kalkoae,Lophostoma kalkoae,Kalko&apos;s Round-eared Bat,,Unknown,,
Phyllostomidae,Lophostoma,nicaraguae,Lophostoma nicaraguae,Mesoamerican Round-eared Bat,,Unknown,,
Phyllostomidae,Lophostoma,occidentale,Lophostoma occidentale,Western Round-eared Bat,,Unknown,,
Phyllostomidae,Lophostoma,schulzi,Lophostoma schulzi,Schulz's Round-eared Bat,,Unknown,,
Phyllostomidae,Micronycteris,brosseti,Micronycteris brosseti,Brosset's Big-eared Bat,,Unknown,,
Phyllostomidae,Micronycteris,buriri,Micronycteris buriri,St. Vincent Big-eared Bat,,Unknown,,
Phyllostomidae,Micronycteris,giovanniae,Micronycteris giovanniae,Giovanni's Big-eared Bat,,Unknown,,
Phyllostomidae,Micronycteris,matses,Micronycteris matses,Matses Big-eared Bat,,Unknown,,
Phyllostomidae,Micronycteris,sanborni,Micronycteris sanborni,Sanborn's Big-eared Bat,,Unknown,,
Phyllostomidae,Micronycteris,simmonsae,Micronycteris simmonsae,Simmons' Big-eared Bat,,Unknown,,
Phyllostomidae,Micronycteris,tresamici,Micronycteris tresamici,Three Friends Big-eared Bat,,Unknown,,
Phyllostomidae,Micronycteris,yatesi,Micronycteris yatesi,Yates' Big-Eared Bat,,Unknown,,
Phyllostomidae,Monophyllus,plethodon,Monophyllus plethodon,Insular Single-leaf Bat,,Unknown,,
Phyllostomidae,Musonycteris,harrisoni,Musonycteris harrisoni,Banana Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Phyllostomidae,Neonycteris,pusilla,Neonycteris pusilla,Least Big-eared Bat,,Unknown,,
Phyllostomidae,Phyllonycteris,aphylla,Phyllonycteris aphylla,Jamaican Flower Bat,,Unknown,,
Phyllostomidae,Phyllonycteris,poeyi,Phyllonycteris poeyi,Cuban Flower Bat,,Unknown,,
Phyllostomidae,Phyllops,falcatus,Phyllops falcatus,Cuban Fig-eating Bat,,Unknown,,
Phyllostomidae,Platalina,genovensium,Platalina genovensium,Long-snouted Bat,,Migratory,mig-CMS 2012,CMS 2012
Phyllostomidae,Platyrrhinus,albericoi,Platyrrhinus albericoi,Alberico&apos;s Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,angustirostris,Platyrrhinus angustirostris,Slender Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,aquilus,Platyrrhinus aquilus,Darien Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,aurarius,Platyrrhinus aurarius,Eldorado Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,fusciventris,Platyrrhinus fusciventris,Brown-bellied Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,guianensis,Platyrrhinus guianensis,Guianan Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,incarum,Platyrrhinus incarum,Incan Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,ismaeli,Platyrrhinus ismaeli,Ismael&apos;s Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,masu,Platyrrhinus masu,Quechua Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,matapalensis,Platyrrhinus matapalensis,Matapalo Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,nitelinea,Platyrrhinus nitelinea,Western Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,recifinus,Platyrrhinus recifinus,Recife Broad-nosed Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,umbratus,Platyrrhinus umbratus,Shadowy Broad-nosed Bat,,Unknown,,
Phyllostomidae,Rhinophylla,alethina,Rhinophylla alethina,Hairy Little Fruit Bat,,Unknown,,
Phyllostomidae,Scleronycteris,ega,Scleronycteris ega,Ega Long-tongued Bat,,Unknown,,
Phyllostomidae,Sphaeronycteris,toxophyllum,Sphaeronycteris toxophyllum,Visored Bat,,Unknown,,
Phyllostomidae,Stenoderma,rufum,Stenoderma rufum,Red Fruit Bat,,Nonmigratory,NM-W&M2022,Webber & McGuire 2022
Phyllostomidae,Sturnira,adrianae,Sturnira adrianae,Adriana's Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,angeli,Sturnira angeli,Angel's Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,aratathomasi,Sturnira aratathomasi,Aratathomas' Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,bakeri,Sturnira bakeri,Baker's Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,boadai,Sturnira boadai,,,Unknown,,
Phyllostomidae,Sturnira,burtonlimi,Sturnira burtonlimi,Burton Lim's Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,giannae,Sturnira giannae,Gianna's Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,koopmanhilli,Sturnira koopmanhilli,Koopman and Hill&apos;s Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,mistratensis,Sturnira mistratensis,Mistratoan Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,mordax,Sturnira mordax,Talamancan Yellow-shouldered Bat,,Potential Migrant,Alt mig suggested in M&B2013 (cites McCarthy 2005),McGuire & Boyle 2013 (cites McCarthy et al 2005)
Phyllostomidae,Sturnira,nana,Sturnira nana,Lesser Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,paulsoni,Sturnira paulsoni,Paulson's Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,perla,Sturnira perla,La Perla Forest Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Sturnira,sorianoi,Sturnira sorianoi,Soriano&apos;s Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Tonatia,bakeri,Tonatia bakeri,Baker's Round-eared Bat,,Unknown,,
Phyllostomidae,Tonatia,maresi,Tonatia maresi,Mares' Round-eared Bat,,Unknown,,
Phyllostomidae,Uroderma,bakeri,Uroderma bakeri,Baker's Tent-making Bat,,Unknown,,
Phyllostomidae,Vampyressa,elisabethae,Vampyressa elisabethae,Elisabeth's Little Yellow-eared Bat,,Unknown,,
Phyllostomidae,Vampyressa,melissa,Vampyressa melissa,Melissa's Little Yellow-eared Bat,,Potential Migrant,Alt mig suggested in M&B2013 (cites Hutson2004),McGuire & Boyle 2013 (cites Hutson 2004)
Phyllostomidae,Vampyressa,voragine,Vampyressa voragine,La VorÃ¡gine Little Yellow-eared Bat,,Unknown,,
Phyllostomidae,Vampyriscus,brocki,Vampyriscus brocki,Brock's Yellow-eared Bat,,Unknown,,
Phyllostomidae,Xeronycteris,vieirai,Xeronycteris vieirai,Vieira&apos;s Bat,,Unknown,,
Pteropodidae,Acerodon,celebensis,Acerodon celebensis,Sulawesi Fruit Bat,,Unknown,,
Pteropodidae,Acerodon,humilis,Acerodon humilis,Talaud Fruit Bat,,Unknown,,
Pteropodidae,Acerodon,jubatus,Acerodon jubatus,Golden-capped Fruit Bat,,Unknown,,
Pteropodidae,Acerodon,leucotis,Acerodon leucotis,Palawan Fruit Bat,,Unknown,,
Pteropodidae,Acerodon,macklotii,Acerodon macklotii,Sunda Fruit Bat,,Unknown,,
Pteropodidae,Aethalops,aequalis,Aethalops aequalis,Borneo Fruit Bat,,Unknown,,
Pteropodidae,Aethalops,alecto,Aethalops alecto,Pygmy Fruit Bat,,Unknown,,
Pteropodidae,Alionycteris,paucidentata,Alionycteris paucidentata,Mindanao Pygmy Fruit Bat,,Unknown,,
Pteropodidae,Aproteles,bulmerae,Aproteles bulmerae,Bulmer's Fruit Bat,,Unknown,,
Pteropodidae,Balionycteris,seimundi,Balionycteris seimundi,Malayan Spotted-winged Fruit Bat,,Unknown,,
Pteropodidae,Boneia,bidens,Boneia bidens,Manado Rousette,,Unknown,,
Pteropodidae,Casinycteris,argynnis,Casinycteris argynnis,Golden Short-palated Fruit Bat,,Unknown,,
Pteropodidae,Casinycteris,campomaanensis,Casinycteris campomaanensis,Campo-Ma'an Fruit Bat,,Unknown,,
Pteropodidae,Casinycteris,ophiodon,Casinycteris ophiodon,Pohle's Fruit Bat,,Unknown,,
Pteropodidae,Chironax,melanocephalus,Chironax melanocephalus,Black-capped Fruit Bat,,Unknown,,
Pteropodidae,Chironax,tumulus,Chironax tumulus,Sulawesi Black-capped Fruit Bat,,Unknown,,
Pteropodidae,Cynopterus,luzoniensis,Cynopterus luzoniensis,Peters' Short-nosed  Fruit Bat,,Unknown,,
Pteropodidae,Cynopterus,minutus,Cynopterus minutus,Minute Short-nosed  Fruit Bat,,Unknown,,
Pteropodidae,Cynopterus,nusatenggara,Cynopterus nusatenggara,Nusatenggara Short-nosed Fruit Bat,,Nonmigratory,NM - Burland & Wilmer 2001,Burland & Wilmer 2001
Pteropodidae,Cynopterus,titthaecheilus,Cynopterus titthaecheilus,Indonesian Short-nosed Fruit Bat,,Unknown,,
Pteropodidae,Desmalopex,leucoptera,Desmalopex leucoptera,White-winged Flying Fox,,Unknown,,
Pteropodidae,Desmalopex,microleucoptera,Desmalopex microleucoptera,Mindoro Pallid Flying Fox,,Unknown,,
Pteropodidae,Dobsonia,anderseni,Dobsonia anderseni,Andersen&apos;s Naked-backed Fruit Bat,,Unknown,,
Pteropodidae,Dobsonia,beauforti,Dobsonia beauforti,Beaufort's Naked-backed Fruit Bat,,Unknown,,
Pteropodidae,Dobsonia,chapmani,Dobsonia chapmani,Negros Naked-backed Fruit Bat,,Unknown,,
Pteropodidae,Dobsonia,crenulata,Dobsonia crenulata,Halmahera Naked-backed Fruit Bat,,Unknown,,
