"Latin.Name","summer_tif","winter_tif","D","I","rank.corr","sum_lon","sum_lat","win_lon","win_lat","distance","bearing"
"Molossus molossus","./Summer_SDMs_redone/Molossus molossus_summer.tif","./Winter_SDMs_redone/Molossus molossus.tif",0.549134333633827,0.706612695057698,0.43145511835248,-63.7164732848561,-5.32822004426177,-61.8119204962786,-6.35073066342702,239316.52409795,-61.9035781352193
"Molossus pretiosus","./Summer_SDMs_redone/Molossus pretiosus_summer.tif","./Winter_SDMs_redone/Molossus pretiosus.tif",0.222355941600565,0.429381006014206,0.0378869746446927,-69.8094398884083,4.32954183751802,-72.1485166298672,5.6706927066905,298798.857544349,119.65211453564
"Molossus rufus","./Summer_SDMs_redone/Molossus rufus_summer.tif","./Winter_SDMs_redone/Molossus rufus.tif",0.499097411202048,0.642294420667592,0.424442271072944,-67.9544608807261,2.34826449486136,-64.0506566957045,-4.62337323947587,884774.661981963,-29.4694256938421
"Molossus sinaloae","./Summer_SDMs_redone/Molossus sinaloae_summer.tif","./Winter_SDMs_redone/Molossus sinaloae.tif",0.481340047764425,0.508513561198576,0.133075261821478,-84.2678000939629,13.9753406154569,-75.4358480639731,9.91426767676768,1061500.8369797,-64.100324760474
"Monophyllus redmani","./Summer_SDMs_redone/Monophyllus redmani_summer.tif","./Winter_SDMs_redone/Monophyllus redmani.tif",0.346034339884863,0.548047567814351,0.462790593435768,-76.8879384351239,21.814048319843,-73.8944805194805,19.6132498453927,395703.877687927,-51.4742407636727
"Mops condylurus","./Summer_SDMs_redone/Mops condylurus_summer.tif","./Winter_SDMs_redone/Mops condylurus.tif",0.473592269024295,0.595502548512616,0.264762634951465,23.3113364140774,1.11696487197951,21.7267482352941,-2.77661725490196,465247.59037153,22.2941553625133
"Mops midas","./Summer_SDMs_redone/Mops midas_summer.tif","./Winter_SDMs_redone/Mops midas.tif",0.32899757869312,0.435981168072038,-0.0162041481090564,28.1772277410173,-0.652489553034299,32.5824794188862,-2.78229943502825,543785.718175215,-64.4163146382744
"Mops nanulus","./Summer_SDMs_redone/Mops nanulus_summer.tif","./Winter_SDMs_redone/Mops nanulus.tif",0.0265664641432654,0.154184623098469,0.124825980730705,15.8522907984864,4.66289098050486,8.21757409257409,6.95958208458209,882813.279061515,106.307106385855
"Mops spurrelli","./Summer_SDMs_redone/Mops spurrelli_summer.tif","./Winter_SDMs_redone/Mops spurrelli.tif",0.389632107023425,0.419302899486011,0.36401337333732,10.1615420621086,2.87574246239267,4.4400641025641,5.12409420289855,682242.937446569,111.153274828388
"Mops thersites","./Summer_SDMs_redone/Mops thersites_summer.tif","./Winter_SDMs_redone/Mops thersites.tif",0.527901386172706,0.635433227826371,0.403735557850953,13.4803631159611,3.92690017846172,16.2439017414944,3.3745609253876,313030.629470729,-78.662780169967
"Mormoops blainvillii","./Summer_SDMs_redone/Mormoops blainvillii_summer.tif","./Winter_SDMs_redone/Mormoops blainvillii.tif",0.234214882842937,0.406161003751021,0.29471229525025,-78.6030405405405,23.372606981982,-78.0388488543976,21.622366962306,202323.352848579,-16.5674188416297
"Mormoops megalophylla","./Summer_SDMs_redone/Mormoops megalophylla_summer.tif","./Winter_SDMs_redone/Mormoops megalophylla.tif",0.486700989022259,0.597565116266096,0.375462095666576,-91.3973863405017,24.2998757058515,-88.4305192051375,16.7992396704229,886062.964085249,-19.929078743872
"Mormopterus ridei","./Summer_SDMs_redone/Mormopterus ridei_summer.tif","./Winter_SDMs_redone/Mormopterus ridei.tif",0.20421266522866,0.439977129831621,-0.0338245257374447,143.334491589333,-26.9732379146853,149.153550583658,-28.1042234111543,588228.473840213,-79.0565037185526
"Myonycteris angolensis","./Summer_SDMs_redone/Myonycteris angolensis_summer.tif","./Winter_SDMs_redone/Myonycteris angolensis.tif",0.199987543597591,0.309426477000004,0.219442622792997,23.341541583624,-0.293890653545923,28.3067938969236,-4.52440857810248,723649.578924999,-49.8612934533675
"Myonycteris torquata","./Summer_SDMs_redone/Myonycteris torquata_summer.tif","./Winter_SDMs_redone/Myonycteris torquata.tif",0.557631155323942,0.720003585404993,0.457627525751182,14.9546769097488,4.16621439127554,13.37160244605,1.45510105302923,347632.516745149,30.3839094906524
"Myotis albescens","./Summer_SDMs_redone/Myotis albescens_summer.tif","./Winter_SDMs_redone/Myotis albescens.tif",0.722140142530623,0.829402106622898,0.422007877437046,-61.780315559295,-9.85233415717929,-60.8956426951014,-8.39023082401967,188697.174583645,-149.048666775888
"Myotis alcathoe","./Summer_SDMs_redone/Myotis alcathoe_summer.tif","./Winter_SDMs_redone/Myotis alcathoe.tif",0.128936536804542,0.358881324747561,0.234628690819521,12.1002385054721,49.2576297820746,2.361759079843,47.183379291499,758861.717766596,68.7265819331478
"Myotis austroriparius","./Summer_SDMs_redone/Myotis austroriparius_summer.tif","./Winter_SDMs_redone/Myotis austroriparius.tif",0.536155445376449,0.720028070598339,0.618051495291662,-87.2193745149399,32.8521294140473,-85.6970431842321,34.7943824869923,257426.023646699,-146.38177827604
"Myotis bechsteinii","./Summer_SDMs_redone/Myotis bechsteinii_summer.tif","./Winter_SDMs_redone/Myotis bechsteinii.tif",0.374950167437114,0.606910287455458,0.457237277144593,11.9848542231436,48.4358538643491,3.81502142558528,49.3438196767001,607252.848278529,96.4703123792776
"Myotis blythii","./Summer_SDMs_redone/Myotis blythii_summer.tif","./Winter_SDMs_redone/Myotis blythii.tif",0.298949258974139,0.412721600783233,0.372056044993359,17.7681166400616,41.5594369828077,9.73893492320129,45.3363215536821,773044.262372341,120.035504722527
"Myotis bocagii","./Summer_SDMs_redone/Myotis bocagii_summer.tif","./Winter_SDMs_redone/Myotis bocagii.tif",0.282491875711716,0.525139359132472,0.0819240149237138,21.7896332271472,-1.24750002898997,19.5320197150174,0.397406423852819,310216.309503503,125.898937883752
"Myotis californicus","./Summer_SDMs_redone/Myotis californicus_summer.tif","./Winter_SDMs_redone/Myotis californicus.tif",0.652642028309934,0.693088725801921,0.54713057492106,-109.759830401602,38.6413065382165,-107.740350684262,34.8450745356794,458227.833970613,-22.5783825745083
"Myotis capaccinii","./Summer_SDMs_redone/Myotis capaccinii_summer.tif","./Winter_SDMs_redone/Myotis capaccinii.tif",0.404288082094012,0.554200750433389,0.537163141136946,14.4768480138169,39.5195595854922,11.5808412883953,40.8162137151763,285611.959669225,119.32899539179
