Latin Name,Common Name,Status,Fig_stat,Colors,Additional migration info,Source,Mig Status (based on Fleming & Eby 2003),sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Sturnira mordax,Talamancan Yellow-shouldered Bat,Potential Migrant,Potential Migrant,Migratory,Alt mig suggested in M&B2013 (cites McCarthy 2005),McGuire & Boyle 2013 (cites McCarthy et al 2005),,,,,,,,,,,
Vampyressa melissa,Melissa's Little Yellow-eared Bat,Potential Migrant,Potential Migrant,Migratory,Alt mig suggested in M&B2013 (cites Hutson2004),McGuire & Boyle 2013 (cites Hutson 2004),,,,,,,,,,,
Vampyrodes caraccioli,Caracciolo&apos;s Stripe-faced Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013 (cites Hutson 2004),Short-distance Migrant,-67.40032877,3.34263445,-63.39450413,-3.51324984,879386.111,879.386111,-30.49300448,0.322109782,0.545026426,0.203539888
Pteropus medius,Indian Flying Fox,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013 (cites Hutson 2002),McGuire & Boyle 2013 (cites Hutson 2202); https://animalia.bio/indian-flying-fox,Short-distance Migrant,82.13620866,21.81531439,80.60281113,21.29147293,169090.697,169.090697,69.65850887,0.720093776,0.806173176,0.724643876
Pteropus vampyrus,Large Flying Fox,Potential Migrant,Potential Migrant,Migratory,potential migrant (transmigratory) - Hutson 2002,https://animalia.bio/large-flying-fox?property=76,Nonmigratory,108.712584,4.41332803,108.5230958,4.931382468,61023.32352,61.02332352,159.8393734,0.401214036,0.528797076,0.39948535
Rhinolophus lepidus,Blyth's Horseshoe Bat,Potential Migrant,Potential Migrant,Migratory,Mohan et al suggests potential migration,Mohan et al. 2022,Short-distance Migrant,101.4841592,17.45951927,93.81811375,19.41365314,838128.5133,838.1285133,103.7173316,0.363766773,0.438782832,0.224235646
Rhinopoma cystops,Big-eyed Mouse-tailed Bat,Potential Migrant,Potential Migrant,Migratory,Wilson & Mittermeier 2019 suggest mig pattern identical to Rhinopoma microphyllum,Wilson & Mittermeier 2019,,,,,,,,,,,
Rhinopoma muscatellum,Small Mouse-tailed Bat,Potential Migrant,Potential Migrant,Migratory,Kafaei et al 2021 talks about migration to higher latitudes in response to climate changeunclear if this is range shift type of migration or a seasonal thing,Kafaei et al 2021,,,,,,,,,,,
Falsistrellus tasmaniensis,Eastern False Pipistrelle,Potential Migrant,Potential Migrant,Migratory,May be undergoing altitudinal migration,Driessen et al. 2011 - status and conservation of bats in Tasmania,Short-distance Migrant,146.8860407,-35.87401618,147.4848731,-34.43432662,168785.5698,168.7855698,-161.311046,0.340505464,0.544868295,0.52623757
Lasiurus semotus,Hawaiian Hoary Bat,Potential Migrant,Potential Migrant,Migratory,mention of altitudinal migration - Hsuing 2018 (cites Menard 2001 - has circumstantial evidence of at least partial migration),"Hsuing 2018, Menard 2001",,,,,,,,,,,
