Latin Name,Common Name,Status,Fig_stat,Mig_or_NM,Combo,Choices,Additional migration info,Source,,Mig Status (based on Fleming & Eby 2003),percent overlap ,sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Rhinolophus swinnyi,Swinny's Horseshoe Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,7.546334637,27.87072206,-12.61168474,29.77961371,-16.1708055,444341.2703,444.3412703,-27.84348781,0.155037658,0.207023392,-0.24363354
Rhinolophus tatar,Tatar Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus thailandensis,Thai Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus thomasi,Thomas's Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus trifoliatus,Trefoil Horseshoe Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,22.32995588,109.3890466,0.909113976,111.854815,-0.287937119,304727.4022,304.7274022,-64.25266656,0.364584171,0.532256643,0.21667746
Rhinolophus virgo,Yellow-faced Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus willardi,Willard's Horsehoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus xinanzhongguoensis,Southwestern-Chinese Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus yonghoiseni,Yong Hoi Sen's Woolly Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus yunanensis,Dobson's Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus ziama,Ziama Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Cloeotis percivali,Percival's Short-eared Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Paratriaenops auritus,Grandidier's Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Paratriaenops furcula,Trouessart's Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Paratriaenops pauliani,Paulian&apos;s Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinonicteris aurantia,Orange Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,14.12437093,134.8600822,-17.89879414,132.7656,-16.20414459,291350.3506,291.3503506,130.3709388,0.438017743,0.634248469,0.547252928
Triaenops afer,African Trident Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,2.09058804,29.35093142,-7.323861466,28.86047424,-5.329055375,227177.41,227.17741,166.2061286,0.055225849,0.12227618,-0.067504098
Triaenops menamena,Red Madagascan Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Triaenops parvus,Little Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Triaenops persicus,Persian Trident Bat,Migratory,Migratory,1,,,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,,,
Rhinopoma cystops,Big-eyed Mouse-tailed Bat,Potential Migrant,Migratory,3,,,Wilson & Mittermeier 2019 suggest mig pattern identical to Rhinopoma microphyllum,Wilson & Mittermeier 2019,,,,,,,,,,,,,
Rhinopoma hadramauticum,Hadramaut Mouse-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinopoma hardwickii,Lesser Mouse-tailed Bat,Potential Migrant/Potential Nonmigrant,Nonmigratory,FALSE,,,potential migrant; Mohan suggests nonmigratory,Kumar et al 1965; Hulva et al 2007; Mohan et al 2022 says this one is known to hibernate,,Long-distance Migrant,3.367688656,48.70088613,29.58636242,32.79077762,22.50845384,1772411.884,1772.411884,60.42323289,0.279603684,0.407944328,0.354080892
Rhinopoma macinnesi,MacInnes' Mouse-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinopoma microphyllum,Greater Mouse-tailed Bat,Migratory,Migratory,1,,,Mig - McGuire & Ratcliffe 2011,"McGuire & Ratcliffe 2011, https://animalia.bio/greater-mouse-tailed-bat?property=76",,Long-distance Migrant,0.816232718,60.76011415,29.23571112,42.63142641,30.31781907,1755305.98,1755.30598,89.35108233,0.147971061,0.240425484,0.213036535
Rhinopoma muscatellum,Small Mouse-tailed Bat,Potential Migrant,Migratory,3,,,Kafaei et al 2021 talks about migration to higher latitudes in response to climate changeunclear if this is range shift type of migration or a seasonal thing,Kafaei et al 2021,,,,,,,,,,,,,
Thyroptera devivoi,De Vivo&#39;s Disk-winged Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Thyroptera discifera,Peters's Disk-winged Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Thyroptera lavali,LaVal's Disk-winged Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Thyroptera tricolor,Spix's Disk-winged Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,25.08958883,-65.91234964,-1.098911125,-63.71536801,-2.448665204,286406.548,286.406548,-58.63152536,0.630642104,0.63372162,0.398412226
Thyroptera wynneae,Patricia's disk-winged bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Afronycteris helios,Samburu Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Afronycteris nana,Banana Serotine,Nonmigratory,Nonmigratory,2,,,sedentary - M&R2011,McGuire & Ratcliffe 2011,,Nonmigratory,26.77229009,23.12488766,-4.979532685,23.62663586,-4.754785233,60951.38672,60.95138672,-114.0848522,0.677454479,0.766499568,0.648157038
Antrozous pallidus,Pallid Bat,Migratory/Nonmigratory,Migratory,FALSE,,,"NM in NA - Fleming, SD - Bisson 2009, Moussy et al. 2013 says putative migratory; Lack et al. 2010 & cited sources mention migration; W&M2022 - mig",Fleming 2019; Bisson et al 2009; https://animalia.bio/pallid-bat; Moussy et al. 2013; Lack et al. 2010; Webber & McGuire 2022,,Short-distance Migrant,33.87321515,-109.0335902,36.10126986,-103.3891227,36.24843176,507990.7689,507.9907689,-90.17363066,0.543688226,0.721525316,0.532082941
Arielulus circumdatus,Bronze Sprite,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Arielulus cuprosus,Coppery Sprite,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Arielulus societatis,Social Sprite,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Baeodon gracilis,Slender Yellow Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Baeodon alleni,Allen's Yellow Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Barbastella barbastellus,Western Barbastelle,Migratory/Nonmigratory,Migratory,FALSE,,,"RM in Europe - Fleming 2003, NM - Bisson 2009, RM - Hutterer 2005/McGuire & Ratcliffe; mig - W&M2022",Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; https://animalia.bio/western-barbastelle?property=76; Hutterer et al. 2005; Webber & McGuire 2022,,Short-distance Migrant,14.14322516,19.38479966,50.09866457,10.15209924,49.0967896,676233.1603,676.2331603,77.02352889,0.505301039,0.668779151,0.575451503
Barbastella beijingensis,Beijing Barbastelle,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Barbastella caspica,Caspian Barbastelle,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Barbastella darjelingensis,Darjeeling Barbastelle,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Barbastella leucomelas,Eastern Barbastelle,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Barbastella pacifica,Japanese Barbastelle,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
